Open,High,Low,Close,Volume,20_day,50_day,b,h,s
0.130022,0.130022,0.128906,0.128906,23027200,0.1134206,0.106174755,0,1,0
0.131696,0.132254,0.131696,0.131696,24259200,0.11216505,0.105423122,0,1,0
0.131138,0.131138,0.130022,0.130022,23788800,0.1109374,0.104591776,0,1,0
0.126674,0.126674,0.125558,0.125558,10595200,0.11001665,0.103737653,0,1,0
0.116629,0.116629,0.116071,0.116071,35907200,0.1091238,0.102974633,0,1,0
0.115513,0.115513,0.114955,0.114955,170464000,0.1086216,0.102416612,0,1,0
0.114955,0.115513,0.114955,0.114955,30284800,0.1083705,0.101858592,0,1,0
0.112165,0.112165,0.111049,0.111049,16531200,0.1082031,0.101243612,0,1,0
0.112165,0.113281,0.112165,0.112165,15836800,0.1081752,0.100662796,0,1,0
0.116629,0.117188,0.116629,0.116629,16620800,0.1081752,0.100025041,0,1,0
0.108259,0.108259,0.107701,0.107701,32883200,0.1081194,0.099250633,0,1,0
0.099888,0.099888,0.09933,0.09933,55171200,0.1083705,0.098669816,0,1,0
0.101563,0.102121,0.101563,0.101563,45740800,0.10904015,0.098271224,0,1,0
0.106027,0.107143,0.106027,0.106027,19779200,0.109433684,0.097735959,0,1,0
0.108817,0.109375,0.108817,0.108817,10953600,0.109609895,0.097075429,0,1,0
0.111607,0.112723,0.111607,0.111607,15232000,0.109521789,0.096346571,0,1,0
0.115513,0.116071,0.115513,0.115513,19824000,0.109110632,0.095367163,0,1,0
0.108259,0.108259,0.107701,0.107701,23654400,0.108405789,0.094319429,0,1,0
0.107701,0.107701,0.107143,0.107143,31942400,0.107935842,0.093499449,0,1,0
0.102121,0.102121,0.101004,0.101004,22668800,0.107377789,0.092702245,0,1,0
0.103795,0.104353,0.103795,0.103795,34451200,0.107084105,0.092030327,0,1,0
0.107143,0.107701,0.107143,0.107143,28851200,0.106702263,0.091415347,0,1,0
0.111607,0.112165,0.111607,0.111607,17337600,0.105791789,0.090777592,0,1,0
0.108259,0.108259,0.107701,0.107701,22848000,0.104352632,0.090037347,1,0,0
0.106585,0.106585,0.106027,0.106027,15500800,0.103236579,0.089467918,0,1,0
0.109933,0.111049,0.109933,0.109933,9900800,0.102120474,0.088989592,0,1,0
0.111607,0.112165,0.111607,0.111607,10953600,0.100828158,0.088442939,0,1,0
0.111607,0.111607,0.110491,0.110491,12432000,0.099682737,0.087919082,0,1,0
0.112165,0.112723,0.112165,0.112165,31673600,0.098596053,0.087418,0,1,0
0.115513,0.116071,0.115513,0.115513,17494400,0.097714947,0.086780245,0,1,0
0.113281,0.113281,0.112723,0.112723,10528000,0.096745737,0.086108327,0,1,0
0.112723,0.113281,0.112723,0.112723,9206400,0.095659053,0.085470571,0,1,0
0.112723,0.113281,0.112723,0.112723,9206400,0.094513632,0.08486698,0,1,0
0.110491,0.110491,0.109375,0.109375,71456000,0.09419645,0.08492188,0,1,0
0.107701,0.107701,0.107143,0.107143,26275200,0.0931362,0.08448662,0,1,0
0.104353,0.104353,0.103795,0.103795,27484800,0.09221545,0.08408484,0,1,0
0.103237,0.103237,0.102121,0.102121,24192000,0.0914063,0.08370536,0,1,0
0.099888,0.099888,0.098772,0.098772,18905600,0.0905413,0.08335936,0,1,0
0.097656,0.097656,0.09654,0.09654,17001600,0.08973215,0.08311384,0,1,0
0.09654,0.09654,0.095424,0.095424,20675200,0.0889509,0.08296876,0,1,0
0.09654,0.097098,0.09654,0.09654,17113600,0.08811385,0.08282368,0,1,0
0.09096,0.09096,0.089844,0.089844,41910400,0.0872489,0.0826786,1,0,0
0.084821,0.084821,0.084263,0.084263,23072000,0.08674665,0.08266744,0,1,0
0.086496,0.087054,0.086496,0.086496,40700800,0.08630025,0.08274558,0,1,0
0.085379,0.085379,0.084821,0.084821,33600000,0.0856585,0.08273442,0,1,0
0.085379,0.085938,0.085379,0.085379,25916800,0.0850726,0.08263398,1,0,0
0.089844,0.090402,0.089844,0.089844,38035200,0.08398445,0.08253354,0,1,0
0.089844,0.090402,0.089844,0.089844,40947200,0.08270095,0.08236612,0,1,0
0.095424,0.095982,0.095424,0.095424,37027200,0.08158485,0.08220986,0,1,0
0.097098,0.097656,0.097098,0.097098,19376000,0.08021765,0.08198664,0,1,0
0.093192,0.093192,0.092076,0.092076,37475200,0.07876675,0.08178576,0,1,0
0.091518,0.091518,0.09096,0.09096,15254400,0.077846,0.08156254,0,1,0
0.088728,0.088728,0.08817,0.08817,25446400,0.07709265,0.08133932,0,1,0
0.08817,0.088728,0.08817,0.08817,30531200,0.0764509,0.08120538,0,1,0
0.088728,0.089286,0.088728,0.088728,34809600,0.07603235,0.08112724,0,1,0
0.08817,0.08817,0.087612,0.087612,17539200,0.0757254,0.08103794,0,1,0
0.085379,0.085379,0.084821,0.084821,27686400,0.07550215,0.08098212,0,1,0
0.083147,0.083147,0.082589,0.082589,19510400,0.075558,0.080904,0,1,0
0.081473,0.081473,0.080915,0.080915,19353600,0.07572545,0.08085936,0,1,0
0.079241,0.079241,0.078683,0.078683,19376000,0.07572545,0.08088168,0,1,0
0.079241,0.079799,0.079241,0.079241,26320000,0.07592075,0.08099328,0,1,0
0.079799,0.080357,0.079799,0.079799,49033600,0.07603235,0.0810714,0,1,0
0.075893,0.075893,0.075335,0.075335,47420800,0.07619975,0.08113836,0,1,0
0.074777,0.074777,0.073661,0.073661,28201600,0.0768136,0.08130576,0,1,0
0.073661,0.073661,0.073103,0.073103,18300800,0.07751115,0.08148432,0,1,0
0.064732,0.064732,0.063616,0.063616,34608000,0.0782087,0.08171868,0,1,0
0.064174,0.064732,0.064174,0.064174,91728000,0.07926895,0.08215394,0,1,0
0.067522,0.06808,0.067522,0.067522,94684800,0.0803013,0.08254456,0,1,0
0.06808,0.068638,0.06808,0.06808,49996800,0.08125,0.08287938,0,1,0
0.06808,0.068638,0.06808,0.06808,61129600,0.0823103,0.08320304,0,1,0
0.073661,0.074219,0.073661,0.073661,45046400,0.0833148,0.08351554,0,1,0
0.075893,0.077009,0.075893,0.075893,43097600,0.08409605,0.08366062,0,1,0
0.075893,0.075893,0.075335,0.075335,28358400,0.0847657,0.0838057,0,1,0
0.079799,0.080915,0.079799,0.079799,38841600,0.08540745,0.08404008,0,1,0
0.082589,0.083147,0.082589,0.082589,31091200,0.0857144,0.08433026,0,1,0
0.083147,0.084263,0.083147,0.083147,54521600,0.0855749,0.0847209,0,1,0
0.085938,0.086496,0.085938,0.085938,27350400,0.0854354,0.08501108,0,1,0
0.085938,0.087054,0.085938,0.085938,44195200,0.08521215,0.08527892,0,1,0
0.081473,0.081473,0.080915,0.080915,30979200,0.0850168,0.08550212,0,1,0
