,Open,High,Low,Close,Volume,20_day,50_day,y_target
4497,0.35491100000000003,0.358817,0.33928600000000003,0.34877199999999997,405417600,0.3213727,0.31968748,s
4498,0.34877199999999997,0.357143,0.340402,0.352679,305132800,0.32064725,0.31843748,s
4499,0.345982,0.350446,0.33928600000000003,0.340402,167182400,0.31874990000000003,0.31709818,s
4500,0.328125,0.33928600000000003,0.315848,0.31863800000000003,370216000,0.31816395,0.31600442,s
4501,0.31696399999999997,0.32366100000000003,0.304688,0.313058,475574400,0.31849879999999997,0.31565844,s
4502,0.303571,0.308594,0.28125,0.28738800000000003,551880000,0.31941955,0.31520086,s
4503,0.300781,0.30636199999999997,0.290179,0.29073699999999997,399862400,0.32184705,0.3154464,s
4504,0.289063,0.297433,0.284598,0.285156,473356800,0.3241908,0.31549104,h
4505,0.27678600000000003,0.27846,0.25446399999999997,0.27511199999999997,689214400,0.3272042,0.31575890000000006,h
4506,0.283482,0.314732,0.274554,0.313616,668236800,0.3304966,0.31654014,h
4507,0.334821,0.343192,0.32645100000000005,0.33426300000000003,622899200,0.331808,0.31652898,s
4508,0.339844,0.34988800000000003,0.321429,0.345982,941628800,0.3314453,0.31662944,h
4509,0.35491100000000003,0.36886199999999997,0.328683,0.33370500000000003,2280017600,0.329827,0.31681918,s
4510,0.32366100000000003,0.33258899999999997,0.31696399999999997,0.327009,840672000,0.328125,0.317154,s
4511,0.331473,0.339844,0.325893,0.327567,615563200,0.3269531,0.31791292,s
4512,0.327567,0.339844,0.320313,0.334821,475776000,0.32650665,0.31864952,s
4513,0.33872800000000003,0.34096,0.321429,0.32198699999999997,382088000,0.32583705,0.31910712,s
4514,0.328125,0.33426300000000003,0.319196,0.331473,430617600,0.325279,0.31997764,s
4515,0.329241,0.335938,0.32366100000000003,0.328125,317374400,0.32452565,0.32071426,h
4516,0.328125,0.329241,0.313616,0.31696399999999997,355980800,0.3240792,0.32188614,h
4517,0.32198699999999997,0.337054,0.31696399999999997,0.33426300000000003,475843200,0.3239955,0.32300222,h
4518,0.33928600000000003,0.347656,0.313058,0.314732,538193600,0.32346540000000007,0.32435268,h
4519,0.314732,0.330357,0.313616,0.328683,363708800,0.32377235,0.32609376,h
4520,0.325335,0.33426300000000003,0.319754,0.325335,344579200,0.323019,0.32771206,h
4521,0.328683,0.334821,0.32366100000000003,0.331473,317643200,0.32240515,0.32944196,h
4522,0.334821,0.337054,0.33258899999999997,0.335938,253769600,0.3200893,0.33111608,h
4523,0.33370500000000003,0.341518,0.33314699999999997,0.33761199999999997,370451200,0.3185268,0.33178572,h
4524,0.344308,0.34933000000000003,0.340402,0.34542399999999995,627883200,0.31771765,0.33241072,h
4525,0.342634,0.351563,0.339844,0.34096,607118400,0.3154855,0.33280134,h
4526,0.33816999999999997,0.341518,0.33258899999999997,0.339844,797339200,0.31305805,0.33322544,h
4527,0.336496,0.340402,0.31696399999999997,0.327009,660788800,0.3111328,0.33335936,h
4528,0.32310300000000003,0.32366100000000003,0.3125,0.313616,883982400,0.30909595,0.33373882,h
4529,0.319196,0.319754,0.29241100000000003,0.299665,948505600,0.30770085,0.33449776,h
4530,0.295759,0.30747800000000003,0.293527,0.303571,595100800,0.3070033,0.3357366,h
4531,0.311942,0.32198699999999997,0.30971,0.31863800000000003,791817600,0.3068917,0.33683036,h
4532,0.320871,0.328125,0.316406,0.321429,384529600,0.30546875,0.3377567,h
4533,0.319196,0.319754,0.310268,0.31082600000000005,210728000,0.30438055,0.33868304,h
4534,0.31417399999999995,0.321429,0.311384,0.316406,329660800,0.30348769999999997,0.33977678,h
4535,0.31696399999999997,0.332031,0.316406,0.319196,346528000,0.30259485,0.34044642,h
4536,0.325335,0.328125,0.310268,0.31529,399224000,0.30234375,0.34123884,h
4537,0.31752199999999997,0.328683,0.31417399999999995,0.32366100000000003,577953600,0.30223215,0.34169644,h
4538,0.32254499999999997,0.328125,0.319196,0.320871,319748800,0.3030134,0.34170759999999994,s
4539,0.320313,0.32198699999999997,0.311942,0.313616,303800000,0.3047433,0.34203126,h
4540,0.313058,0.313616,0.310268,0.313058,153104000,0.3065848,0.34239956,s
4541,0.308594,0.31082600000000005,0.283482,0.285156,561489600,0.30917965,0.34297992,s
4542,0.28571399999999997,0.31082600000000005,0.282366,0.304688,865737600,0.31314169999999997,0.3443527,s
4543,0.304688,0.329241,0.299107,0.321429,962483200,0.31579235,0.34498886,s
4544,0.324219,0.325893,0.300223,0.300781,626046400,0.31799655,0.3454018,s
4545,0.30636199999999997,0.30747800000000003,0.28571399999999997,0.29241100000000003,721369600,0.3213727,0.34599332,s
4546,0.297991,0.30133899999999997,0.29241100000000003,0.30133899999999997,566596800,0.3260881,0.34657368,h
4547,0.30301300000000003,0.30301300000000003,0.28571399999999997,0.28627199999999997,680108800,0.32965955,0.34718752,h
4548,0.29185300000000003,0.293527,0.282366,0.28571399999999997,592916800,0.33543525,0.34832592,h
4549,0.29185300000000003,0.294085,0.284598,0.28571399999999997,391249600,0.34123885,0.34947548,h
4550,0.287946,0.303571,0.28571399999999997,0.30133899999999997,689998400,0.34743305,0.35044646,h
4551,0.293527,0.297433,0.287946,0.290179,501446400,0.3529576,0.35101566,h
4552,0.29241100000000003,0.300223,0.29241100000000003,0.299665,264712000,0.35920759999999996,0.3514286,h
4553,0.30133899999999997,0.305246,0.29129499999999997,0.292969,374348800,0.36269535,0.35146208,h
4554,0.294085,0.30133899999999997,0.29241100000000003,0.29854899999999995,330612800,0.36649,0.35178574,h
4555,0.297991,0.315848,0.296875,0.31417399999999995,791492800,0.3698103,0.35191968,h
4556,0.315848,0.31808000000000003,0.305804,0.313058,357448000,0.37220985,0.35160718,h
4557,0.324777,0.340402,0.321429,0.33928600000000003,1150800000,0.37388395,0.35127236,h
4558,0.344866,0.361607,0.342634,0.355469,1235035200,0.37421875,0.35062504,h
4559,0.356027,0.357143,0.34988800000000003,0.350446,199987200,0.37402345,0.34960942,s
4560,0.34821399999999997,0.367188,0.34821399999999997,0.36495500000000003,725312000,0.3745815,0.34841524,h
4561,0.367188,0.37053600000000003,0.359375,0.36439699999999997,387352000,0.3742467,0.3468639,h
4562,0.358259,0.367188,0.357143,0.35770100000000005,237361600,0.37427459999999996,0.3455023,h
4563,0.361607,0.36941999999999997,0.352679,0.36551300000000003,271689600,0.37477685,0.34443086,h
4564,0.376116,0.377232,0.357143,0.368304,952884800,0.37477685,0.34345988,h
4565,0.374442,0.39229899999999995,0.37053600000000003,0.386719,1410113600,0.37385605,0.34217638,h
4566,0.393973,0.393973,0.366071,0.372768,1348569600,0.37246095,0.34078128,h
4567,0.377232,0.402344,0.376116,0.40178600000000003,1429019200,0.37073105,0.33930806,h
4568,0.41573699999999997,0.41852700000000004,0.392857,0.40178600000000003,678832000,0.36685270000000003,0.3375335,h
